Hán Tự,Pinyin,Nghĩa 1,Hán Việt,Nghĩa 2
颜色,yánsè,màu sắc,,
额外,éwài,ngoài định mức,,
颠倒,diāndǎo,"đảo lộn, đảo ngược",,
颠簸,diānbǒ,"lắc lư, chòng chành",,
颤抖,chàndǒu,"run, run rẩy",,
风,fēng,gió,,
风俗,fēngsú,phong tục,,
风光,fēngguāng,"phong cảnh, quang cảnh",,
风味,fēngwèi,"phong vị, mùi vị",,
风土人情,fēngtǔ rénqíng,thong thổ nhân tình,,
风度,fēngdù,phong độ,,
风景,fēngjǐng,phong cảnh,,
风暴,fēngbào,bão táp,,
风格,fēnggé,phong cách,,
风气,fēngqì,"bầu không khí, tập tục, thị hiếu",,
风貌,fēngmào,phong thái diện mạo,,
风趣,fēngqù,"dí dỏm, thú vị",,
风险,fēngxiǎn,rủi ro,,
飘,piāo,"tung bay, lung lay",,
飘扬,piāoyáng,"lay động, phất phơ",,
飙升,biāoshēng,bay vút lên,,
飞,fēi,bay,,
飞机,fēijī,máy bay,,
飞猛,fēi měng,bay cao,,
飞禽走兽,fēiqín zǒushòu,birds and animals; the beasts of the field and the birds of the air,,
飞翔,fēixiáng,bay lượn,,
飞跃,fēiyuè,"nhảy vọt, vượt bậc",,
食品,shípǐn,"thực phẩm, đồ ăn",,
食客,shíkè,thực khách,,
食物,shíwù,"thực vật, đồ ăn",,
餐厅,cāntīng,nhà hàng,,
餐桌,cānzhuō,bàn ăn,,
餐盘,cān pán,đĩa ăn,,
饥饿,jī'è,"đói, đói bụng",,
饭馆,fànguǎn,nhà hàng,,
饮料,yǐnliào,"thức uống, đồ uống",,
饮食,yǐnshí,đồ ăn thức uống,,
饱,bǎo,no,,
饱和,bǎohé,bão hòa,,
饱经沧桑,bǎojīngcāngsāng,thế sự xoay vần,,
饲养,sìyǎng,chăn nuôi,,
饶恕,ráoshù,"tha thứ, bỏ qua",,
饺子,jiǎozi,sủi cảo,,
饼干,bǐnggān,bánh biscuit,,
饿,è,Đói,,
馅儿,xiàn er,"lòi, lộ tẩy",,
馆,guǎn,quán,,
馋,chán,thèm ăn,,
馒头,mántou,màn thầu,,
首先,shǒuxiān,đầu tiên,,
首要,shǒuyào,"hàng đầu, quan trọng nhất",,
首都,shǒudū,thủ đô,,
香,xiāng,"thơm, hương",,
香味,xiāngwèi,"hương vị, mùi thơm",hương,
香蕉,xiāngjiāo,chuối,hương vị,
马,mǎ,con ngựa,,
马上,mǎshàng,"lập tức, ngay",mã,
马虎,mǎhǔ,"qua loa, đại khái",,
马车,mǎchē,xe ngựa,,
驰名,chímíng,"lừng danh, nổi tiếng",,
驱逐,qūzhú,"xua đuổi, trục xuất",,
驻扎,zhùzhá,"đóng quân, đồn trú",,
驾,jià,"kéo, lái, điều khiển",,
驾驶,jiàshǐ,"điều khiển, bẻ lái",,
骂,mà,"chửi, la",,
骄傲,jiāo'ào,tự hào,,
验收,yànshōu,nghiệm thu,,
验证,yànzhèng,nghiệm chứng,,
骑,qí,"cưỡi (con vật hoặc xe đạp, xe máy)",,
骑车,qí chē,"cưỡi xe (xe đạp, xe motor)",,
骑马,qímǎ,cưỡi ngựa,,
骗,piàn,"lừa dối, gạt",,
骨头,gǔtou,"xương, cốt",,
骨干,gǔgàn,xương cốt,,
高,gāo,cao,,
高兴,gāoxìng,vui vẻ,,
高尚,gāoshàng,cao thượng,,
高峰,gāofēng,đỉnh cao,,
高度,gāodù,"cao độ, độ cao",,
高手,gāoshǒu,cao thủ,,
高明,gāomíng,cao minh,,
高档,gāodàng,"hàng tốt, giá cao",,
高涨,gāozhàng,"tăng cao, tăng vọt",,
高潮,gāocháo,"cao trào, triều cường",,
高级,gāojí,"cấp cao,bậc cao",,
高考,gāokǎo,thi cấp 3,,
高超,gāochāo,cao siêu,,
高速公路,gāosù gōnglù,đường cao tốc,,
高高在上,gāogāozàishàng,cao cao tại thượng,,
鬼,guǐ,quỷ,,
魄力,pòlì,"quyết đoán, kiên quyết",,
魅力,mèilì,"mê lực, sức hấp dẫn",,
魏,wèi,"Ngụy, nước Ngụy",,
魔术,móshù,ma thuật,,
魔鬼,móguǐ,ma quỷ,,
鱼,yú,cá,,
鲜,xiān,tươi,,
鲜明,xiānmíng,"tươi sáng (màu sắc), sáng rõ, rõ nét",,
鲜艳,xiānyàn,tươi đẹp,,
鲨鱼,shāyú,cá mập,,
鸟,niǎo,con chim,,
鸡蛋,jīdàn,trứng gà,,
鸽子,gēzi,bồ câu,,
麦克风,màikèfēng,microphone,,
麻木,mámù,"tê, sự tê",,
麻烦,máfan,phiền phức; làm phiền,,
麻痹,mábì,"bệnh tê liệt, mất cảm giác, lơ là",,
麻醉,mázuì,"gây tê, gây mê",,
黄,huáng,màu vàng,,
黄昏,huánghūn,hoàng hôn,,
黄瓜,huángguā,"dưa chuột, dưa leo",,
黄金,huángjīn,vàng (vàng bạc),,
黎明,límíng,"bình minh, hửng sáng",,
黑,hēi,đen,,
黑板,hēibǎn,bảng đen,,
默默,mòmò,"lặng lẽ, im lặng",,
鼓动,gǔdòng,cổ động,,
鼓励,gǔlì,"khuyến khích, khích lệ",,
鼓掌,gǔzhǎng,vỗ tay,,
鼓舞,gǔwǔ,cổ vũ,,
鼠标,shǔbiāo,con chuột máy tính,,
鼻子,bízi,cái mũi,,
鼻涕,bítì,nước mũi,,
齐全,qíquán,"đầy đủ, đủ cả",,
齐心协力,qíxīn xiélì,tề tâm hiệp lực,,
龙,lóng,rồng,,
开会,kāihuì,"mở họp, họp",,
打,dǎ,"đánh, gõ",,
球赛,qiúsài,"trận bóng, trân đấu bóng",,
照,zhào,"1. chụp (chụp ảnh); 2, chiếu, rọi",,
楼下,lóu xià,lầu dưới,,
好的,hǎo de,"Ok, được",,
这么…,zhème,...như vậy,,
点儿,diǎn er,"một chút, chút",,
老是,lǎo shì,"luôn, luôn luôn, mãi",,
上周,shàng zhōu,tuần trước,,
头疼,tóuténg,"đau đầu, nhức đầu",,
篮球,lánqiú,bóng rổ,,
长得,zhǎng dé,trông,,
冬天,dōngtiān,"ngày đông, mùa đông",,
一下,yīxià,"một tý, thử xem, một cái",,
这么…,zhème,… như vậy,,
男,nán,"Nam, con trai",,
刮,guā,thổi (gió thổi),,
他们,tāmen,bọn họ,,
您好,nín hǎo,chào ngài,,
点菜,diǎn cài,"chọn món, điểm món",,
东边,dōngbian,"bên đông, phía đông",,
斤,jīn,cân (500g),,
出院,chūyuàn,xuất viện,,
饭,fàn,"cơm, bữa cơm",,
相机,xiàngjī,máy ảnh,,
蓝色,lán sè,màu xanh (lam),,
哪里,nǎlǐ,"chỗ nào, ở đâu",,
会儿,huì er,"một lát, một hồi",,
雨,yǔ,mưa,,
妈,mā,"má, mẹ",,
几点,jǐ diǎn,mấy giờ,,
电影票,diànyǐng piào,"vé phim, vé xem phim",,
洞察,dòngchá,"thấy rõ, nhìn rõ",,
宣泄,xuānxiè,"1. thổ lộ (tâm tình), 2. tháo nước, khơi thông dòng nước",,
绝缘,juéyuán,"cách biệt, biệt lập (Tuyệt Duyên)",,
定论,dìnglùn,"định luận, kết luận",,
罚,fá,"phạt, xử phạt",,
裁判员,cáipàn yuán,"trọng tài, tài phán viên",,
违犯,wéifàn,vi phạm,,
犯规,fànguī,phạm quy,,
手势,shǒushì,"động tác tay, dùng tay ra hiệu",,
示意,shì shì,"tỏ ý, ra hiệu",,
自荐,zìjiàn,"tự tiến cử, tự đề cử",,
战,zhàn,"chiến, chiến tranh, chiến đấu",,
北战,běi zhàn,Bắc chiến,,
武士,wǔshì,võ sĩ,,
橙子,chéngzi,quả cam,,
陛下,bìxià,bệ hạ,,
径直,jìngzhí,"1. thẳng, thẳng thắn; 2. tiếp tục, tiếp",,
陪伴,péibàn,"đi cùng, đi với",,
琴棋书画,Qín qí shūhuà,Cầm Kỳ Thy Họa,,
有益,yǒuyì,có ích,,
无趣,wúqù,không hứng thú,,
跃,yuè,"nhảy, vọt",,
碰撞,pèngzhuàng,"va nhau, đụng nhau",,
遗忘,yíwàng,"quên sạch, quên mất",,
病症,bìngzhèng,bênh chứng,,
滤纸,lǜzhǐ,giấy lọc,,
铺垫,pūdiàn,chân đệm,,
攀,pān,"leo, vịn, trèo",,
巅峰,diānfēng,đỉnh cao; Điên Phong,,
秦,qín,"Tần, nước Tần",,
齐,qí,"Tề, nước Tề",,
鲁,lǔ,"Lỗ, nước Lỗ",,
融合,rónghé,dung hợp,,
地域,dìyù,địa vực,,
夏眠,xiàmián,ngủ Hạ,,
海参,hǎishēn,hải sâm,,
海底,hǎidǐ,đáy biển,,
降到,jiàng dào,"giảm đến, hạ; giáng",,
恒定,héngdìng,"cố định, bất biến, Hằng Định",,
南唐,nán táng,Nam Đường (thời đại),,
坛,tán,"đàn, đàn tế",,
朽,xiǔ,mục nát; già lão,,
篇章,piānzhāng,"văn chương, bài văn",,
亡国,wángguó,"mất nước, Vong Quốc",,
宫廷,gōngtíng,cung đình,,
俘,fú,"bắt tù binh, tù binh",,
故国,gùguó,"Cố Quốc, tổ quốc",,
作诗,zuò shī,làm thơ,,
浑然,húnrán,"toàn vẹn, nguyên vẹn",,
团队,tuánduì,"đoàn đội, tập thể",,
依照,yīzhào,"theo, căn cứ vào, chiếu theo",,
氛围,fēnwéi,bầu không khí,,
捕,bǔ,"bắt, tóm, vồ",,
织,zhī,dệt,,
撒,sā,"vung, tung, rải",,
沉,chén,"đậm sâu, nặng nề",,
殊荣,shūróng,"vinh dự đặc thù, vinh quang đặc thù",,
嘲,cháo,"chế giễu, cười giễu",,
旗鼓相当,qí gǔ xiāng dāng,"lực lượng ngang nhau, Cờ Trống tương đương",,
衷,zhōng,"nội tâm, trong lòng; họ Trung",,
短暂,duǎnzàn,"ngắn ngủi, nhất thời",,
不屑,bùxiè,"chẳng đáng, không thèm",,
顺畅,shùnchàng,"thông thuận, trót lọt",,
耳光,ěrguāng,"tát tai, bạt tai",,
踏,tà,"đạp, giẫm",,
绿洲,lǜzhōu,"ốc đảo, Lục Châu",,
饥,jī,"đói, nạn đói",,
渴,kě,"khát, khát nước",,
劳累,láolèi,"mẹt mỏi, cực khổ, Lao Lụy",,
视,shì,"nhìn, thị (thị lực)",,
汽水,qìshuǐ,"nước ngot, nước có ga",,
闲置,xiánzhì,"để đó không dùng, bỏ không",,
潜,qián,"ẩn náu, kín đáo, bí mật",,
惊叹,jīngtàn,"thán phục, kinh ngạc tán thán",,
挪动,nuódòng,"thay đổi vị trí, xê dịch, di chuyển",,
存入,cún rù,"lưu vào, save vào",,
原处,yuán chù,chỗ ban đầu,,
疯掉,fēng diào,điên mất,,
疑,yí,"nghi, nghi hoặc, hoài nghi",,
任用,rènyòng,"bổ nhiệm, nhiệm dụng",,
理财,lǐcái,"quản lý tài sản, Lý Tài",,
节制,jiézhì,tiết chế,,
誉,yù,"Dự, danh dự",,
王府,wángfǔ,Vương Phủ,,
水井,shuǐjǐng,giếng nước,,
言语,yányǔ,ngôn ngữ,,
隐藏,yǐncáng,"trốn, giấu đi",,
真诚,zhēnchéng,chân thành,,
交友,jiāoyǒu,giao kết bạn,,
再生,zàishēng,tái sinh,,
界,jiè,"giới,  ranh giới, tầng lớp(giới)",,
无害,wú hài,vô hại,,
均,jūn,"bằng, đều, đồng đều",,
率,lǜ,"tỉ suất, suất",,
明代,míngdài,"Minh Đại, thời Minh",,
湖南,húnán,Hồ Nam,,
湖北,húběi,Hồ Bắc,,
江浙,jiāngzhè,Chiết Giang,,
种棉花,zhǒng miánhuā,"trồng cây bông vải, trồng bông vải",,
风浪,fēnglàng,sóng gió,,
惊慌,jīnghuāng,"hoang mang, kinh hoảng",,
负重,fùzhòng,"mang nặng, gánh trọng trách",,
适当,shìdàng,"thích hợp, thỏa đáng",,
相传,xiāngchuán,tương truyền,,
赵,zhào,Triệu (họ người),,
流落,liúluò,lưu lạc,,
长安,cháng'ān,Trường An (thành phố),,
恳求,kěnqiú,khẩn cầu,,
宋朝,sòngcháo,Tống triều (thời đại),,
美餐,měicān,bữa cơm ngon,,
赞赏,zànshǎng,"tán thưởng, ca ngợi",,
算是,suànshì,"coi là, xem là",,
郑,zhèng,Trịnh (họ người),,
名言,míngyán,danh ngôn,,
差异,chāyì,"sai biệt, khác nhau",,
包容,bāoróng,bao dung,,
处事,chǔshì,xử thế,,
练武,liànwǔ,luyện võ,,
磨练,mó liàn,khổ luyện,,
品格,pǐngé,phẩm cách,,
歌曲,gēqǔ,bài hát,,
化整为零,huà zhěng wéi líng,"xé chẳn ra lẻ, chia thành tốp nhỏ",,
击破,jípò,"công phá, đánh tan",,
企及,qǐjí,hi vọng đạt được,,
轻易,qīngyì,"đơn giản, dễ dàng",,
有助,yǒu zhù,có giúp ích cho,,
模特,mótè,người mẫu (nghề),,
物品,wùpǐn,vật phẩm,,
屋,wū,"nhà, phòng; Ốc",,
累积,lěijī,"tích lũy, lũy tích",,
细心,xìxīn,cẩn thận tỉ mỉ,,
卫生,wèishēng,vệ sinh,,
版图,bǎn tú,bản đồ,,
日照,rìzhào,"ánh sáng mặt trời, trời chiếu",,
失恋,shīliàn,thất tình,,
末日,mòrì,"tận thế, ngày cùng",,
断言,duànyán,"khẳng định, quả quyết",,
走不出,zǒu bù chū,"không thoát ra, đi không ra",,
阴影,yīnyǐng,"cái bóng, bóng râm",,
郁闷,yùmèn,"phiền muộn, sầu não",,
预想,yùxiǎng,"dự tính, suy tính trước",,
消弭,xiāomǐ,"trừ khử, tiêu trừ",,
虚弱,xūruò,"yếu ớt, yếu",,
增强,zēngqiáng,tăng cường,,
含有,hányǒu,"hàm có, gồm có",,
矿物质,kuàng wùzhí,chất khoáng,,
含量,hánliàng,hàm lượng,,
若,ruò,"1. nếu như, nếu; 2. dường như, như",,
处于,chǔyú,"ở vào, nằm ở",,
思路,sīlù,"dòng suy nghĩ, mạch suy nghĩ",,
促,cù,"thúc, thúc đẩy",,
热带,rèdài,"nhiệt đới, xứ nóng",,
生长,shēngzhǎng,sinh trưởng,,
移植,yízhí,dời trồng,,
极难,jí nán,"cực khó, cực nan",,
方圆,fāngyuán,vuông tròn,,
圆规,yuánguī,com-pa,,
方形,fāngxíng,hình vuông,,
圆形,yuán xíng,hình tròn,,
缺,quē,thiếu,,
打破,dǎpò,"đánh tan, phá bỏ",,
夸大,kuādà,khuếch đại,,
轮,lún,1. tàu thủy; 2. bánhxe,,
打翻,dǎ fān,đánh lật,,
根基,gēnjī,"cơ sở, nền móng",,
效应,xiàoyìng,hiệu ứng,,
暴风,bàofēng,"bão, gió mạnh, Bạo Phong",,
载货,zài huò,"tải hàng, chở hàng",,
狂风,kuángfēng,"cuông phong, gió lớn",,
浪,làng,"sóng, làn sóng",,
勇,yǒng,"dũng, dám",,
坏事,huàishì,việc xấu,,
积存,jīcún,"tồn tích, tồn trữ, tích trữ",,
长久,chángjiǔ,"lâu dài, Trường Cửu",,
海豚,hǎitún,cá heo,,
独一无二,dúyīwú'èr,độc nhất vô nhị,,
半球,bànqiú,bán cầu,,
互换,hù huàn,"hoán lẫn nhau, đổi cho nhau",,
瓦,wǎ,"ngói, sành",,
纺线,fǎng xiàn,dệt sợi,,
寓意,yùyì,ngụ ý,,
操持,cāochí,lo liệu,,
璋,zhāng,ngọc chương,,
玉器,yùqì,"đồ ngọc, đồ bằng ngọc",,
礼器,lǐ qì,"lễ khí, đồ làm quà tặng",,
平分,píngfēn,"chia đều, phân đều",,
不论,bùlùn,bất luận,,
莫,mò,chớ đừng; không,,
贪图,tāntú,"ham muốn, thèm muốn",,
华贵,huáguì,"hoa quý, vinh hoa phú quý",,
付出,fùchū,"trả, trả giá",,
重庆,chóngqìng,Trùng Khánh (thành phố),,
地处,de chù,"đất ở, vị trí ở",,
交汇,jiāohuì,"giao hội, giao nhau",,
医药,yīyào,y dược,,
药物,yàowù,"thuốc, các vị thuốc",,
产地,chǎndì,nơi sản xuất,,
功用,gōngyòng,công dụng,,
乐于,lèyú,vui vẻ với,,
内心,nèixīn,"nội tâm, trong lòng",,
焦虑,jiāolǜ,"lo nghĩ, lo âu",,
...上,... Shàng,trên …,,
明年,míngnián,năm sau,,
海,hǎi,"biển, Hải",,
它,tā,nó (ngôi thứ 3),,
这么,zhème,… như vậy,,
还没,hái méi,vẫn chưa,,
需,xū,"cần, nhu cầu",,
倒,dào,"1. té, ngã; 2 đảo, lộn",,
懂,dǒng,"hiểu,",,
预习,yùxí,ôn tập trước,,
太阳,tàiyáng,"mặt trời, thái dương",,
照,zhào,"chiếu, soi",,
网址,wǎngzhǐ,đia chỉ web,,
租,zū,thuê,,
地点,dìdiǎn,địa điểm,,
洗碗,xǐ wǎn,rửa chén,,
礼拜,lǐbài,"tuần, thứ",,
邮局,yóujú,bưu điện,,
钓鱼,Diàoyú,câu cá,,
郊外,jiāowài,vùng ngoại ô,,
腿流,tuǐ liú,chân ,,
讯录,xùn lù,danh bạ,,
考研,kǎoyán,nghiên cứu khảo sát,,
结冰,jié bīng,kết băng,,
柜子,guìzi,cái tủ,,
订单,dìngdān,đơn đặt hàng,,
财主,cáizhǔ,"tài chủ, người nhà giàu",,
谎,huǎng,"nói dốc, nói dối",,
孔雀,kǒngquè,"chim công, khổng tước",,
围墙,wéiqiáng,"tường vây, tường che",,
钟,zhōng,"1. đồng hồ, 2.cái chuông",,
歪,wāi,"nghiên, lệch",,
售票,shòupiào,bán vé,,
护肤,hùfū,"vệ da, bảo vệ da",,
涂,tú,"bôi, xoa, tô",,
刷卡,shuākǎ,quẹt thẻ,,
充值,chōngzhí,"nạp lại, nạp thêm giá trị",,
熬夜,áoyè,"thức trắng đêm, thức đêm",,
箱,xiāng,"rương, hòm",,
录制,lùzhì,"thu, ghi",,
闭,bì,"đóng, khép",,
国庆,guóqìng,quốc khánh(lễ),,
初中,chūzhōng,"sơ trung, trường cấp 2",,
销售员,xiāoshòu yuán,nhân viên kinh doanh,,
练,liàn,"luyện, luyện tập",,
印,yìn,"in, ấn, in ấn",,
上楼,shàng lóu,lên lầu,,
假话,jiǎ huà,"lời nói dối, giả thoại",,
将,jiāng,"1. sẽ; 2. mang, xách",,
今年,jīnnián,năm nay,,
出国,chūguó,"xuất quốc, xuất ngoại",,
电灯,diàndēng,đèn điện,,
列车,lièchē,"đoàn tàu, chuyến tàu",,
下车,xià chē,xuống xe,,
爬,pá,"leo, trèo",,
茶馆,cháguǎn,"trà quán, quán trà",,
那里,nàlǐ,"chỗ đó, ở đó",,
大声,dàshēng,lớn tiếng,,
踢,tī,đá,,
皮,pí,"da, vỏ, bì",,
下列,xiàliè,"dưới đây, liệt kê ở dưới",,
哪个,nǎge,cái nào,,
上海,shànghǎi,Thượng Hải,,
没办法,méi bànfǎ,hết cách,,
看完,kàn wán,xem xong,,
谈论,tánlùn,"đàm luận, bàn bạc",,
想出来,xiǎng chūlái,nghĩ ra,,
袋,dài,"bao, bịch",,
什么时候,shénme shíhòu,khi nào,,
看完,kàn wán,xem xong,,
请问,qǐngwèn,xin hỏi,,
照相馆,zhàoxiàng guǎn,tiệm chụp hình,,
皮,pí,"da, vỏ, bì",,
香蕉皮,xiāngjiāo pí,vỏ chuối,,
约,yuē,hẹn,,
到时候,dào shíhòu,"đến lúc, đến khi",,
还可以,hái kěyǐ,"cũng tạm, cũng được",,
送去,sòng qù,gửi đi,,
夏天,xiàtiān,"ngày hạ, trời hạ",,
进一步,jìnyībù,thêm 1 bước,,
竞争力,jìngzhēng lì,"sức cạnh tranh, năng lực cạnh tranh",,
听说,tīng shuō,nghe nói,,
两点,liǎng diǎn,2 giờ,,
什么时候,shénme shíhòu,khi nào,,
踢,tī,đá,,
球鞋,qiúxié,"giày thể thao, giày bóng",,
床,chuáng,"giường, cái giường",,
爬,pá,"leo, trèo",,
累坏,lèi huài,mệt chết,,
这时,zhè shí,lúc này,,
上面,shàngmiàn,phía trên,,
女朋友,nǚ péngyǒu,bạn gái (người yêu),,
这时候,zhè shíhòu,"lúc này, khi này",,
学好,xuéhǎo,"học được, học tốt",,
好朋友,hǎo péngyǒu,bạn tốt,,
…之间,…zhī jiān,ở giữa,,
头,tóu,đầu,,
成功者,chénggōng zhě,người thành công,,
说话人,shuōhuà rén,người nói,,
扔去,rēng qù,vứt đi,,
何,hé,"sao, vì sao, nào",,
赶,gǎn,"đuổi, đuổi theo",,
并没有,bìng méiyǒu,"chẳng hề, không có",,
充满,chōngmǎn,"tràn đầy; tràn trề, chan chứa",,
不幸,bùxìng,bất hạnh,,
中年,zhōng nián,trung niên,,
停住,tíng zhù,dừng lại,,
门铃,ménlíng,chuông cửa,,
求救,qiújiù,cầu cứu,,
救援,jiùyuán,"cứu viện, cứu giúp",,
呼,hū,"hô, hô hoán",,
用力,yònglì,dùng lực,,
上升,shàngshēng,"lên cao, tăng lên",,
并没有,bìng méiyǒu,"chẳng hề, không có",,
春秋,chūnqiū,Xuân Thu,,
国王,guówáng,quốc vương,,
使者,shǐzhě,sứ giả,,
丢脸,diūliǎn,"mất mặt, xấu hổ",,
矮小,ǎixiǎo,thấp bé,,
手下,shǒuxià,thủ hạ,,
城门,chéng mén,cửa thành,,
守门,shǒumén,thủ môn,,
上街,shàng jiē,lên phố,,
多样,duōyàng,đa dạng,,
性,xìng,tính,,
胆子,dǎnzi,cái gan,,
干成,gàn chéng,làm thành,,
配有,pèi yǒu,phối với,,
插图,chātú,tranh minh họa,,
拼音,pīnyīn,"bính âm, phiên âm",,
肉,ròu,thịt,,
并没有,bìng méiyǒu,"chẳng hề, không có",,
绿叶,lǜyè,lá xanh,,
休眠,xiūmián,ngủ đông,,
员工,yuángōng,"viên công, công nhân viên",,
奉行,fèngxíng,"thừa hành, thi hành, làm theo",,
理念,lǐniàn,"lý niệm, ý tưởng",,
提出,tíchū,đề ra,,
落,luò,"lạc, rơi, rớt",,
黑暗,hēi'àn,"tối tăm, đen tối",,
关灯,guān dēng,tắt đèn,,
光线,guāngxiàn,tia sáng,,
入睡,rùshuì,đi vào giấc ngủ,,
消费者,xiāofèi zhě,người tiêu dùng,,
西北部,xīběi bù,Tây Bắc Bộ,,
奶,nǎi,sữa,,
用量,yòngliàng,lượng dùng,,
华北,huáběi,Hoa Bắc,,
东北,dōngběi,Đông Bắc,,
茶壶,cháhú,"bình trà, ấm pha trà",,
泡,pào,"bọt, bóng",,
取决,qǔjué,quyết định bởi,,
山西,shānxī,Sơn Tây,,
黄河,huánghé,Hoàng Hà,,
中游,zhōngyóu,Trung Lưu,,
黄土,huángtǔ,Hoàng Thổ,,
高原,gāoyuán,cao nguyên,,
东部,dōngbù,"Đông Bộ, phần Đông",,
中华,zhōnghuá,Trung Hoa,,
发祥,fāxiáng,"điềm lành, (nơi) phát sinh",,
源,yuán,"nguồn, nguyên",,
邦,bāng,"bang, nước",,
美称,měichēng,"tiếng khen, lời khen",,
地面,dìmiàn,"mặt đất, khoảng đất",,
…界,…jiè,giới …,,
深圳,shēnzhèn,Thâm Quyến,,
匆匆,cōngcōng,vội vã,,
上述,shàngshù,kể trên,,
赛场,sàichǎng,đường đua,,
地面,dìmiàn,"mặt đất, khoảng đất",,
跑道,pǎodào,đường chạy,,
四周,sìzhōu,xung quanh bốn phía,,
挡板,dǎng bǎn,"biển chặn, tấm chặn",,
赞助商,zànzhù shāng,nhà tài trợ,,
标识,biāozhì,"đánh dấu, nhận dạng",,
注意力,zhùyì lì,sự chú ý,,
沙,shā,cát,,
海风,hǎifēng,gió biển,,
村,cūn,"thôn, làng",,
初次,chūcì,lần đầu,,
签,qiān,"ký, ký tên",,
打印机,dǎyìnjī,máy in,,
通,tōng,thông,,
采光,cǎiguāng,lấy ánh sáng,,
装修,zhuāngxiū,"lắp ráp, cài đặt",,
美食,měishí,"mỹ thực, món ăn ngon",,
纪念日,jìniàn rì,ngày kỉ niệm,,
日子,rìzi,ngày,,
科,kē,khoa,,
乐,lè,"vui, lạc",,
驾照,jiàzhào,giấy phép lái xe,,
公交,gōngjiāo,giao thông công cộng,,
转,zhuǎn,"chuyển, đưa, vòng vòng",,
票务,piàowù,vé vụ,,
订,dìng,đặt,,
香港,xiānggǎng,Hongkong,,
年会,nián huì,"họp thường niên, họp năm",,
饭店,fàndiàn,"khách sạn, quán ăn",,
厅,tīng,"sảnh, phòng",,
高速,gāosù,cao tốc,,
公路,gōnglù,công lộ,,
海南,hǎinán,Hải Nam,,
特产,tèchǎn,đặc sản,,
不了,bùliǎo,"không nổi, không được",,
眼泪,yǎnlèi,nước mắt,,
菜,cài,món ăn,,
款,kuǎn,"kiểu, dạng",,
银色,yínsè,màu bạc,,
饭锅,fàn guō,nồi cơm,,
保修,bǎoxiū,"bảo hành, bảo sửa",,
保修期,bǎoxiū qī,"thời gian bảo hành, kỳ bảo sửa",,
广家,guǎng jiā,xưởng sản xuất,,
上门,shàngmén,"đến cửa, đến nhà",,
靠窗,kào chuāng,kế bên cửa sổ,,
金卡,jīn kǎ,"thẻ bạc, thẻ kim",,
开通,kāitōng,"khai thông, bắt đầu sử dụng",,
全身,quánshēn,toàn thân,,
湿透,shī tòu,ướt đẫm,,
湿,shī,ướt,,
停车位,tíngchē wèi,"chỗ dừng xe, chỗ đậu xe",,
拐,guǎi,"quẹo, rẽ",,
上次,shàng cì,lần trước,,
货到付款,huò dào fùkuǎn,hàng đến trả tiền,,
到帐,dào zhàng,vào tài khoản(ngân hàng),,
速度,sùdù,tốc độ,,
中,zhōng,"trúng, trung, trong",,
装,zhuāng,"cài, lắp",,
取钱,qǔ qián,rút tiền,,
取款机,qǔkuǎn jī,"máy rút tiền, ATM",,
伦敦,lúndūn,"London, Luân-Đôn",,
图,tú,"tranh, hình",,
设计图,shèjì tú,bản thiết kế,,
配,pèi,"phối, kết hợp",,
乐,lè,"vui, lạc",,
中,zhōng,trúng,,
驾照,jiàzhào,giấy phép lái xe,,
公交,gōngjiāo,giao thông công cộng,,
转,zhuǎn,"chuyển, đưa, vòng vòng",,
年会,nián huì,"họp thường niên, họp năm",,
饭店,fàndiàn,"khách sạn, quán ăn",,
厅,tīng,"sảnh, phòng",,
订,dìng,đặt,,
会员,huìyuán,hội viên,,
油箱,yóuxiāng,"hộp thư, email",,
设定,shè dìng,"thiết lập, ",,
身份证,shēnfèn zhèng,chứng minh thư,,
安检,ānjiǎn,kiểm tra an ninh,,
前台,qiántái,tiền đài,,
出示,chūshì,"xuất trình, xuất thị",,
工作证,gōngzuò zhèng,thẻ công việc,,
看起来,kàn qǐlái,xem ra,,
价钱,jiàqián,giá tiền,,
牌子,páizi,"nhãn hiệu, thương hiệu",,
银色,yínsè,màu bạc,,
饭锅,fàn guō,nồi cơm,,
保修,bǎoxiū,"bảo hành, bảo sửa",,
保修期,bǎoxiū qī,"thời gian bảo hành, kỳ bảo sửa",,
广家,guǎng jiā,xưởng sản xuất,,
上门,shàngmén,"đến cửa, đến nhà",,
靠窗,kào chuāng,kế bên cửa sổ,,
全身,quánshēn,toàn thân,,
湿透,shī tòu,ướt đẫm,,
湿,shī,ướt,,
送行,sòngxíng,tiễn đưa; tiễn biệt,,
加强,jiāqiáng,tăng cường,,
商场,shāngchǎng,"siêu thị, thương trường",,
桌,zhuō,"bàn, cái bàn",,
初,chū,"đầu, thứ nhất, một",,
调研,diàoyán,điều nghiên (điều tra nghiên cứu),,
夸奖,kuājiǎng,"khen, khen ngợi",,
洗衣服,xǐ yīfú,giặt quần áo,,
大量,dàliàng,số lượng lớn,,
差点儿,chàdiǎn er,"thiếu chút, suýt chút nữa",,
四川,sìchuān,Tứ Xuyên,,
金牌,jīnpái,huy chương vàng,,
失掉,shīdiào,mất,,
赶上,gǎn shàng,bắt kịp; đuổi kịp; kịp,,
别提,biétí,"đừng nhắc, đừng đề cập",,
理发师,lǐfǎ shī,thợ cắt tóc,,
短发,duǎnfǎ,tóc ngắn,,
